GroupId,GroupName,Preference,Id,Product,Amount,Measure,Energie,FatTotal,Protein,CarbsTotal,Sugar,Starch,Fibre,Water,PUFA3,K,CA,P,MG,FE,CU,SE,ZN,IOD,VITA,VITC,VITD,VITE,VITK,VITB6,VITB12,FIBWAT,FIBFAT,FATPROT
3,Brood,,975,Knackebrod sesam,100,g,421,9.8,12.8,67.8,3.5,64.3,5.1,5.2,0.2,250,100,225,70,2.3,0.3,2,1.8,1.9,0,0,0,0.9,,0.12,0,10.3,14.9,22.6
3,Brood,,5104,Knackebrod Oerknack Bolletje,100,g,427,12.3,15,60.3,5.1,55.2,7.5,2.4,0.3,250,100,225,70,2.3,0.3,2,1.8,1.9,0,0,0,0.7,,0.12,0,9.9,19.8,27.3
3,Brood,,2786,Brood tarwe/volkoren- gem m pompoenpitten,100,g,254,5.5,13.9,33.3,1.9,31.4,7.8,37.3,0.3,232,36,222,83,2.3,0.28,7,1.52,66.3,0,0,0,0.1,,0.087,0,45.1,13.3,19.4
6,Fruit,,2685,Abrikozen gedroogd geweekt,100,g,159,0,2.8,33,31.4,1.7,8.1,58,0,840,53,67,37,2.2,0.23,4,0.11,0.2,0,0,0,2.2,1.7,0.084,0,66.1,8.1,2.8
3,Brood,,655,Beschuit volkoren/meergranen,100,g,394,5,14,69,12,57,8.5,4,0.2,425,26,230,99,2.2,0.3,5,0.57,,0,0,0,0.6,,0.14,0,12.5,13.5,19
17,Noten en zaden,,546,Noten borrel-,100,g,532,32.7,13.2,43.7,8,35.7,4.8,2.5,0.2,366,47,203,91,2.2,0.5,10,1.5,0,0,0,0,7.6,3.3,0.022,0,7.3,37.5,45.9
18,Peulvruchten,,5176,Bonen zwarte blik/glas,100,g,113,1,7.9,14.1,0.8,13.3,8,67,0.3,349,74,117,42,2.2,0.34,2,1.03,0.3,0,0,0,0.2,4.9,0.02,0,75,9,8.9
8,Graanproducten en bindmiddelen,,658,Rijst witte gekookt,100,g,146,0.3,3.2,32.2,0,32.2,0.7,63.4,0,25,12,42,9,0.2,0.08,1,0.75,5,0,0,0,0,,0.019,0,64.1,1,3.5
8,Graanproducten en bindmiddelen,,955,Rijst parboiled gekookt,100,g,140,0.3,3,31,0,31,0.7,65,0,20,20,30,90,0.8,,,0.66,5,0,0,0,,0,0.04,0,65.7,1,3.3
3,Brood,,2354,Brood noten- volkoren,100,g,296,10.2,12.7,35,2.2,32.7,6.6,33.4,0.2,331,41,245,90,2.2,0.34,13,1.78,48.8,0,0,0,1,,0.12,0,40,16.8,22.9
3,Brood,,3328,Brood tarwe/volkoren- gem m diverse zaden,100,g,275,7.1,11.9,37.2,1.7,35.5,7.2,34.6,0.7,286,43,248,91,2.2,0.27,6,1.9,51.3,0,0,0,1.7,,0.14,0,41.8,14.3,19
3,Brood,,2798,Broodje volkoren- zacht,100,g,247,3.3,11.3,39.4,3.3,36.1,7.5,36.3,0.2,281,49,213,69,2.2,0.21,6,1.44,57,0,0,0,0.2,,0.1,0,43.8,10.8,14.6
3,Brood,,2349,Brood lijnzaad-,100,g,286,7.9,13.1,35.9,1.8,34.1,9.6,31.5,2.3,280,70,226,71,2.2,0.21,5,2.02,52.6,0,0,0,0.2,,0.08,0,41.1,17.5,21
3,Brood,,2821,Brood tarwe- m pompoenpitten,100,g,277,7.1,12.3,38.2,1.9,36.3,5.4,34.7,0.1,254,31,259,101,2.2,0.17,4,1.82,52,0,0,0,0.1,,0.08,0,40.1,12.5,19.4
3,Brood,,565,Brood geroosterd toast,100,g,359,2,11,73,8,65,2.5,7.5,0.1,150,15,150,12,2.2,0.16,5,0.6,94.9,0,0,0,0,,0.05,0,10,4.5,13
22,"Suiker, snoep, zoet beleg en zoete sauzen",,1507,Borstplaat room-,100,g,347,3.1,0.7,79,79,0,0,17.8,0,28,22,18,2,0,0.1,0,0.07,2.7,31,0,0,0,0.7,0.006,0.08,17.8,3.1,3.8
22,"Suiker, snoep, zoet beleg en zoete sauzen",,461,Toffee,100,g,401,6.2,0.6,85.6,65.2,20.4,0.1,7.5,0,5,4,3,2,0.2,0.05,0,0.04,0,0,0,0,0,,0,0,7.6,6.3,6.8
22,"Suiker, snoep, zoet beleg en zoete sauzen",,523,Stophoest,100,g,396,0,0.6,98.4,91.4,7,0,1,0,0,7,,3,0.2,,,,0,0,0,0,0,,,0,1,0,0.6
22,"Suiker, snoep, zoet beleg en zoete sauzen",,453,Pepermunt,100,g,395,0,0.6,98.2,98.2,0,0,1.2,0,0,7,0,3,0.2,0.04,0,0.04,0,0,0,0,0,,0,0,1.2,0,0.6
14,Kruiden en specerijen,,2473,Pasta kruiden-/boemboe,100,g,306,20.4,4,25.6,17,8.5,1.7,47.9,0.7,58,11,17,4,0.1,0.04,0,0.13,2.8,0,1,0,1.7,10.8,0.04,0,49.6,22.1,24.4
